side,c_min,filt,k,tgt,n,winrate,avg,total,max_loss,pf,t,tgt_hit
long,200,前日反向,70,150,71,0.606,-1.21,-86.0,-942.0,0.98,-0.05,0.437
long,200,前日反向,70,200,71,0.592,4.51,320.0,-942.0,1.06,0.17,0.282
long,200,前日反向,70,250,71,0.577,8.61,611.0,-942.0,1.11,0.31,0.183
long,200,前日反向,80,100,72,0.639,0.21,15.0,-913.0,1.0,0.01,0.583
long,200,前日反向,80,150,72,0.583,-2.61,-188.0,-952.0,0.97,-0.1,0.444
long,200,前日反向,80,200,72,0.569,3.08,222.0,-952.0,1.04,0.11,0.292
long,200,前日反向,80,250,72,0.556,7.54,543.0,-952.0,1.1,0.27,0.194
long,200,前日反向,90,100,75,0.64,-1.16,-87.0,-923.0,0.98,-0.06,0.587
long,200,前日反向,90,150,75,0.6,-0.39,-29.0,-962.0,0.99,-0.02,0.44
long,200,前日反向,90,200,75,0.587,5.2,390.0,-962.0,1.07,0.2,0.307
long,200,前日反向,90,250,75,0.573,10.24,768.0,-962.0,1.13,0.38,0.2
long,200,前日反向,100,100,79,0.658,-0.22,-17.0,-933.0,1.0,-0.01,0.582
long,200,前日反向,100,150,79,0.608,-0.25,-20.0,-972.0,1.0,-0.01,0.418
long,200,前日反向,100,200,79,0.582,6.61,522.0,-972.0,1.09,0.26,0.304
long,200,前日反向,100,250,79,0.57,11.08,875.0,-972.0,1.15,0.42,0.19
long,200,前日反向,110,100,79,0.62,-19.15,-1513.0,-982.0,0.74,-0.83,0.544
long,200,前日反向,110,150,79,0.582,-5.61,-443.0,-982.0,0.93,-0.23,0.405
long,200,前日反向,110,200,79,0.57,3.1,245.0,-982.0,1.04,0.12,0.304
long,200,前日反向,110,250,79,0.557,7.06,558.0,-982.0,1.09,0.27,0.19
long,200,前日反向,120,100,82,0.634,-17.41,-1428.0,-992.0,0.77,-0.77,0.549
long,200,前日反向,120,150,82,0.598,-3.89,-319.0,-992.0,0.95,-0.16,0.415
long,200,前日反向,120,200,82,0.585,2.22,182.0,-992.0,1.03,0.09,0.268
long,200,前日反向,120,250,82,0.573,5.61,460.0,-992.0,1.07,0.22,0.183
long,200,前日反向,130,100,86,0.651,-1.93,-166.0,-963.0,0.97,-0.1,0.57
long,200,前日反向,130,150,86,0.605,-3.23,-278.0,-1002.0,0.96,-0.14,0.407
long,200,前日反向,130,200,86,0.593,4.74,408.0,-1002.0,1.06,0.2,0.279
long,200,前日反向,130,250,86,0.581,6.6,568.0,-1002.0,1.09,0.27,0.186
long,200,前日反向,140,100,88,0.659,-1.98,-174.0,-973.0,0.97,-0.11,0.568
long,200,前日反向,140,150,88,0.614,-3.42,-301.0,-1012.0,0.95,-0.15,0.398
long,200,前日反向,140,200,88,0.602,4.99,439.0,-1012.0,1.07,0.21,0.273
long,200,前日反向,140,250,88,0.591,7.3,642.0,-1012.0,1.1,0.3,0.193
long,200,前日反向,150,100,89,0.663,-3.57,-318.0,-974.0,0.94,-0.19,0.562
long,200,前日反向,150,150,89,0.607,-4.58,-408.0,-1022.0,0.94,-0.2,0.393
long,200,前日反向,150,200,89,0.596,3.92,349.0,-1022.0,1.05,0.16,0.27
long,200,前日反向,150,250,89,0.584,5.8,516.0,-1022.0,1.08,0.24,0.191
long,400,無,40,100,51,0.745,-10.65,-543.0,-873.0,0.87,-0.36,0.725
long,400,無,40,150,51,0.667,-28.43,-1450.0,-1221.0,0.76,-0.68,0.608
long,400,無,40,200,51,0.608,-58.33,-2975.0,-1221.0,0.61,-1.25,0.373
long,400,無,40,250,51,0.569,-60.0,-3060.0,-1221.0,0.62,-1.24,0.294
long,400,無,50,100,53,0.736,-27.42,-1453.0,-1231.0,0.72,-0.74,0.736
long,400,無,50,150,53,0.679,-20.94,-1110.0,-1231.0,0.82,-0.52,0.604
long,400,無,50,200,53,0.604,-53.75,-2849.0,-1231.0,0.64,-1.17,0.396
long,400,無,50,250,53,0.547,-62.21,-3297.0,-1231.0,0.61,-1.32,0.302
long,400,無,60,100,54,0.741,-28.59,-1544.0,-1241.0,0.71,-0.78,0.722
long,400,無,60,150,54,0.667,-43.48,-2348.0,-1241.0,0.67,-1.0,0.574
long,400,無,60,200,54,0.611,-53.87,-2909.0,-1241.0,0.64,-1.18,0.407
long,400,無,60,250,54,0.556,-61.8,-3337.0,-1241.0,0.61,-1.31,0.315
long,400,無,70,100,55,0.764,-25.13,-1382.0,-1251.0,0.74,-0.69,0.727
long,400,無,70,150,55,0.673,-45.36,-2495.0,-1251.0,0.66,-1.05,0.564
long,400,無,70,200,55,0.618,-54.29,-2986.0,-1251.0,0.64,-1.2,0.4
long,400,無,70,250,55,0.564,-61.25,-3369.0,-1251.0,0.62,-1.3,0.291
long,400,無,80,100,58,0.776,-27.5,-1595.0,-1261.0,0.73,-0.75,0.741
long,400,無,80,150,58,0.672,-40.24,-2334.0,-1261.0,0.69,-0.97,0.569
