side,c_min,filt,k,tgt,ex,n,winrate,avg,total,max_loss,pf,avg_h1,avg_h2
short,100,無,130,100,13:44,100,0.71,14.08,1408.0,-618.0,1.26,0.9,33.0
short,100,無,130,150,12:00,100,0.54,3.47,347.0,-594.0,1.05,8.7,-4.1
short,100,無,130,150,12:30,100,0.58,4.67,467.0,-642.0,1.06,9.3,-2.0
short,100,無,130,150,13:00,100,0.58,-1.74,-174.0,-627.0,0.98,9.1,-17.3
short,100,無,130,150,13:10,100,0.59,-6.43,-643.0,-645.0,0.93,9.9,-29.9
short,100,無,130,150,13:20,100,0.61,3.38,338.0,-613.0,1.04,15.0,-13.4
short,100,無,130,150,13:30,100,0.61,6.86,686.0,-619.0,1.09,14.6,-4.2
short,100,無,130,150,13:44,100,0.61,9.23,923.0,-618.0,1.12,12.7,4.2
short,100,無,130,200,12:00,100,0.5,7.21,721.0,-594.0,1.1,7.3,7.1
short,100,無,130,200,12:30,100,0.54,9.66,966.0,-642.0,1.12,6.6,14.0
short,100,無,130,200,13:00,100,0.52,1.14,114.0,-627.0,1.01,6.3,-6.2
short,100,無,130,200,13:10,100,0.52,-4.79,-479.0,-645.0,0.95,7.0,-21.8
short,100,無,130,200,13:20,100,0.54,5.74,574.0,-613.0,1.07,13.0,-4.7
short,100,無,130,200,13:30,100,0.54,7.84,784.0,-619.0,1.09,10.4,4.1
short,100,無,130,200,13:44,100,0.53,7.23,723.0,-618.0,1.08,6.4,8.4
short,100,無,130,250,12:00,100,0.46,5.93,593.0,-594.0,1.08,1.7,12.0
short,100,無,130,250,12:30,100,0.51,11.21,1121.0,-642.0,1.14,4.8,20.5
short,100,無,130,250,13:00,100,0.49,5.13,513.0,-627.0,1.06,2.2,9.4
short,100,無,130,250,13:10,100,0.5,-2.99,-299.0,-645.0,0.97,-0.7,-6.3
short,100,無,130,250,13:20,100,0.52,6.95,695.0,-613.0,1.08,4.6,10.3
short,100,無,130,250,13:30,100,0.51,11.0,1100.0,-619.0,1.12,4.5,20.3
short,100,無,130,250,13:44,100,0.5,11.91,1191.0,-618.0,1.13,1.5,26.8
short,100,無,140,50,12:00,101,0.733,-9.5,-960.0,-604.0,0.79,-16.1,-0.2
