str_min,agree,m,tgt,ex,B,n,n_loss,n_loss100,winrate,avg,total,max_loss,pf,be
0.0,False,40,250,13:30,80,58,39,7,0.328,43.02,2495.0,-372.0,2.76,0.534
0.0,False,40,250,13:30,120,58,34,10,0.414,42.86,2486.0,-372.0,2.28,0.397
0.0,False,40,250,13:44,0,58,23,14,0.603,67.52,3916.0,-571.0,2.11,0.0
0.0,False,40,250,13:44,50,58,47,5,0.19,23.88,1385.0,-367.0,2.08,0.724
0.0,False,40,250,13:44,80,58,42,7,0.276,37.66,2184.0,-367.0,2.42,0.569
0.0,False,40,250,13:44,120,58,38,8,0.345,42.55,2468.0,-367.0,2.27,0.448
0.0,False,40,300,13:20,0,58,21,13,0.638,61.14,3546.0,-511.0,2.07,0.0
0.0,False,40,300,13:20,50,58,47,6,0.19,22.71,1317.0,-476.0,1.97,0.707
0.0,False,40,300,13:20,80,58,40,7,0.31,36.34,2108.0,-476.0,2.31,0.534
0.0,False,40,300,13:20,120,58,35,9,0.397,36.53,2119.0,-476.0,2.06,0.397
0.0,False,40,300,13:30,0,58,23,15,0.603,61.71,3579.0,-542.0,2.09,0.0
0.0,False,40,300,13:30,50,58,46,5,0.207,24.07,1396.0,-372.0,2.17,0.707
0.0,False,40,300,13:30,80,58,40,7,0.31,40.45,2346.0,-372.0,2.65,0.552
0.0,False,40,300,13:30,120,58,35,10,0.397,37.9,2198.0,-372.0,2.13,0.414
0.0,False,40,300,13:44,0,58,25,16,0.569,57.41,3330.0,-571.0,1.83,0.0
0.0,False,40,300,13:44,50,58,48,5,0.172,20.55,1192.0,-367.0,1.93,0.741
0.0,False,40,300,13:44,80,58,43,7,0.259,35.33,2049.0,-367.0,2.33,0.586
0.0,False,40,300,13:44,120,58,39,8,0.328,37.34,2166.0,-367.0,2.11,0.466
0.0,False,50,150,13:20,0,55,15,11,0.727,50.16,2759.0,-486.0,2.13,0.0
0.0,False,50,150,13:20,50,55,36,7,0.345,21.55,1185.0,-486.0,1.8,0.509
0.0,False,50,150,13:20,80,55,29,7,0.473,36.82,2025.0,-486.0,2.34,0.364
0.0,False,50,150,13:20,120,55,19,9,0.655,50.75,2791.0,-486.0,2.45,0.127
0.0,False,50,150,13:30,0,55,17,11,0.691,53.29,2931.0,-382.0,2.31,0.0
0.0,False,50,150,13:30,50,55,36,6,0.345,25.05,1378.0,-382.0,2.06,0.527
0.0,False,50,150,13:30,80,55,30,6,0.455,40.64,2235.0,-382.0,2.68,0.4
0.0,False,50,150,13:30,120,55,21,9,0.618,51.05,2808.0,-382.0,2.5,0.164
0.0,False,50,150,13:44,0,55,16,10,0.709,51.36,2825.0,-377.0,2.05,0.0
0.0,False,50,150,13:44,50,55,36,6,0.345,23.85,1312.0,-377.0,1.93,0.527
0.0,False,50,150,13:44,80,55,30,6,0.455,39.22,2157.0,-377.0,2.48,0.4
0.0,False,50,150,13:44,120,55,21,7,0.618,54.24,2983.0,-377.0,2.58,0.182
0.0,False,50,200,13:20,0,55,18,12,0.673,55.47,3051.0,-521.0,2.0,0.0
0.0,False,50,200,13:20,50,55,42,7,0.236,14.78,813.0,-486.0,1.54,0.618
0.0,False,50,200,13:20,80,55,36,7,0.345,30.96,1703.0,-486.0,2.11,0.491
0.0,False,50,200,13:20,120,55,28,9,0.491,43.98,2419.0,-486.0,2.24,0.291
0.0,False,50,200,13:30,0,55,21,13,0.618,54.98,3024.0,-552.0,2.03,0.0
0.0,False,50,200,13:30,50,55,42,6,0.236,18.69,1028.0,-382.0,1.78,0.636
0.0,False,50,200,13:30,80,55,37,6,0.327,35.15,1933.0,-382.0,2.44,0.527
0.0,False,50,200,13:30,120,55,30,9,0.455,44.65,2456.0,-382.0,2.3,0.327
0.0,False,50,200,13:44,0,55,20,12,0.636,50.55,2780.0,-581.0,1.81,0.0
0.0,False,50,200,13:44,50,55,43,6,0.218,14.76,812.0,-377.0,1.57,0.655
0.0,False,50,200,13:44,80,55,38,6,0.309,31.95,1757.0,-377.0,2.2,0.545
0.0,False,50,200,13:44,120,55,31,7,0.436,46.09,2535.0,-377.0,2.33,0.364
0.0,False,50,250,13:20,0,55,20,12,0.636,60.98,3354.0,-521.0,2.07,0.0
0.0,False,50,250,13:20,50,55,42,7,0.236,21.91,1205.0,-486.0,1.81,0.618
0.0,False,50,250,13:20,80,55,38,7,0.309,32.64,1795.0,-486.0,2.17,0.527
0.0,False,50,250,13:20,120,55,32,9,0.418,41.11,2261.0,-486.0,2.16,0.364
0.0,False,50,250,13:30,0,55,22,13,0.6,62.56,3441.0,-552.0,2.14,0.0
0.0,False,50,250,13:30,50,55,42,6,0.236,24.33,1338.0,-382.0,2.02,0.636
0.0,False,50,250,13:30,80,55,39,6,0.291,35.33,1943.0,-382.0,2.44,0.564
0.0,False,50,250,13:30,120,55,34,9,0.382,40.29,2216.0,-382.0,2.17,0.4
0.0,False,50,250,13:44,0,55,22,13,0.6,58.15,3198.0,-581.0,1.89,0.0
0.0,False,50,250,13:44,50,55,43,6,0.218,20.6,1133.0,-377.0,1.8,0.655
0.0,False,50,250,13:44,80,55,40,6,0.273,32.25,1774.0,-377.0,2.2,0.582
0.0,False,50,250,13:44,120,55,35,7,0.364,41.85,2302.0,-377.0,2.2,0.436
0.0,False,50,300,13:20,0,55,21,13,0.618,50.22,2762.0,-521.0,1.82,0.0
0.0,False,50,300,13:20,50,55,43,7,0.218,19.6,1078.0,-486.0,1.72,0.636
0.0,False,50,300,13:20,80,55,39,7,0.291,25.64,1410.0,-486.0,1.92,0.545
0.0,False,50,300,13:20,120,55,33,9,0.4,33.35,1834.0,-486.0,1.94,0.382
0.0,False,50,300,13:30,0,55,24,15,0.564,51.87,2853.0,-552.0,1.85,0.0
0.0,False,50,300,13:30,50,55,43,6,0.218,21.6,1188.0,-382.0,1.91,0.655
0.0,False,50,300,13:30,80,55,40,6,0.273,31.62,1739.0,-382.0,2.29,0.582
0.0,False,50,300,13:30,120,55,35,9,0.364,35.69,1963.0,-382.0,2.03,0.418
0.0,False,50,300,13:44,0,55,24,15,0.564,45.29,2491.0,-581.0,1.6,0.0
0.0,False,50,300,13:44,50,55,44,6,0.2,16.78,923.0,-377.0,1.65,0.673
0.0,False,50,300,13:44,80,55,41,6,0.255,27.24,1498.0,-377.0,2.01,0.6
0.0,False,50,300,13:44,120,55,36,7,0.345,35.44,1949.0,-377.0,2.02,0.455
0.0,True,10,150,13:20,0,69,23,20,0.667,3.88,268.0,-1672.0,1.04,0.0
0.0,True,10,150,13:20,50,69,46,13,0.333,-21.14,-1459.0,-1672.0,0.68,0.464
0.0,True,10,150,13:20,80,69,41,18,0.406,-25.06,-1729.0,-1672.0,0.69,0.319
0.0,True,10,150,13:20,120,69,25,19,0.638,4.46,308.0,-1672.0,1.05,0.058
